"distrito","ano","quarter","precio"
"Chamberí",2007,3,4909.46827674152
"Ciudad Lineal",2007,3,3768.78631604901
"Fuencarral",2007,3,3891.63138656096
"Hortaleza",2007,3,3878.40397615029
"Latina",2007,3,3161.58214482669
"Moncloa",2007,3,4430.00381720687
"Moratalaz",2007,3,3327.12220048172
"Puente De Vallecas",2007,3,3040.43026450903
"Retiro",2007,3,4417.78154463792
"Salamanca",2007,3,5082.34397245197
"San Blas",2007,3,3392.03054064848
"Tetuán",2007,3,3920.09154622544
"Usera",2007,3,3019.72977163661
"Vicálvaro",2007,3,3122.28031887689
"Villa De Vallecas",2007,3,3140.76054981178
"Villaverde",2007,3,2839.84785761774
"Arganzuela",2007,4,3893.92269111679
"Barajas",2007,4,3638.06211600848
"Carabanchel",2007,4,3102.96487115693
"Centro",2007,4,4421.59864631345
"Chamartín",2007,4,4930.97360022026
"Chamberí",2007,4,4982.16620579669
"Ciudad Lineal",2007,4,3725.47388010219
"Fuencarral",2007,4,3832.69380736836
"Hortaleza",2007,4,3910.24265897981
"Latina",2007,4,3105.61984468712
"Moncloa",2007,4,4362.29106795008
"Moratalaz",2007,4,3233.78753808367
"Puente De Vallecas",2007,4,3031.10223685581
"Retiro",2007,4,4402.41579183466
"Salamanca",2007,4,5015.39654931652
"San Blas",2007,4,3350.19907667952
"Tetuán",2007,4,3936.27053159714
"Usera",2007,4,2994.50029806629
"Vicálvaro",2007,4,3157.87791088611
"Villa De Vallecas",2007,4,3084.24496727441
"Villaverde",2007,4,2803.76978816306
"Arganzuela",2008,1,3854.65189600025
"Barajas",2008,1,3636.73293936715
"Carabanchel",2008,1,3066.69725555742
"Centro",2008,1,4387.245030149
"Chamartín",2008,1,4969.76989188925
"Chamberí",2008,1,4984.95602858434
"Ciudad Lineal",2008,1,3763.94277102385
"Fuencarral",2008,1,3839.26746305996
"Hortaleza",2008,1,3950.03562150506
"Latina",2008,1,3071.48494386552
"Moncloa",2008,1,4395.55164161047
"Moratalaz",2008,1,3224.76529928036
"Puente De Vallecas",2008,1,2990.81988318195
"Retiro",2008,1,4426.54761230186
"Salamanca",2008,1,5054.45525962971
"San Blas",2008,1,3337.26640156833
"Tetuán",2008,1,3901.44372892732
"Usera",2008,1,2959.7469858568
"Vicálvaro",2008,1,3120.15836630023
"Villa De Vallecas",2008,1,3062.98891709108
"Villaverde",2008,1,2767.58309022953
"Arganzuela",2008,2,3721.22338481386
"Barajas",2008,2,3601.94493780579
"Carabanchel",2008,2,2966.37443580948
"Centro",2008,2,4303.11319334614
"Chamartín",2008,2,4938.96392101526
"Chamberí",2008,2,4885.72905718869
"Ciudad Lineal",2008,2,3701.77036840508
"Fuencarral",2008,2,3720.09934024304
"Hortaleza",2008,2,3853.02680389253
"Latina",2008,2,2971.37617437071
"Moncloa",2008,2,4313.65874241601
"Moratalaz",2008,2,3142.01625663013
"Puente De Vallecas",2008,2,2840.57196603283
"Retiro",2008,2,4372.31851171046
"Salamanca",2008,2,5040.81514942997
"San Blas",2008,2,3205.46559874788
"Tetuán",2008,2,3806.76931976977
"Usera",2008,2,2857.74893682588
"Vicálvaro",2008,2,2966.19142798761
"Villa De Vallecas",2008,2,2925.80946130778
"Villaverde",2008,2,2610.78339074489
"Arganzuela",2008,3,3624.47167106602
"Barajas",2008,3,3518.47895859041
"Carabanchel",2008,3,2843.75106382757
"Centro",2008,3,4137.09256295156
"Chamartín",2008,3,5028.76065102845
"Chamberí",2008,3,4790.28587379076
"Ciudad Lineal",2008,3,3679.3448141011
"Fuencarral",2008,3,3665.70255000502
"Hortaleza",2008,3,3867.52023656799
"Latina",2008,3,2857.18488628594
"Moncloa",2008,3,4238.29207301888
"Moratalaz",2008,3,3019.4705906544
"Puente De Vallecas",2008,3,2736.67549552857
"Retiro",2008,3,4313.29534230757
"Salamanca",2008,3,5166.91185809035
"San Blas",2008,3,3142.43714545932
"Tetuán",2008,3,3740.04066807123
"Usera",2008,3,2785.99779732008
"Vicálvaro",2008,3,2819.50855510003
"Villa De Vallecas",2008,3,2830.19808145421
"Villaverde",2008,3,2503.46405088812
"Arganzuela",2008,4,3550.70145120216
"Barajas",2008,4,3397.81798158807
"Carabanchel",2008,4,2790.60243308366
"Centro",2008,4,4092.4913051538
"Chamartín",2008,4,4979.09756465518
"Chamberí",2008,4,4693.41987931998
"Ciudad Lineal",2008,4,3566.97128627722
"Fuencarral",2008,4,3611.98462834391
"Hortaleza",2008,4,3888.86125384048
"Latina",2008,4,2777.13594439115
"Moncloa",2008,4,4135.16234149204
"Moratalaz",2008,4,2891.64858648933
"Puente De Vallecas",2008,4,2610.69241960289
"Retiro",2008,4,4211.70993934102
"Salamanca",2008,4,5201.81590127966
"San Blas",2008,4,3097.69715869764
"Tetuán",2008,4,3656.7859177376
"Usera",2008,4,2659.32128808465
"Vicálvaro",2008,4,2769.12607499405
"Villa De Vallecas",2008,4,2779.85864831753
"Villaverde",2008,4,2432.85184050286
"Arganzuela",2009,1,3435.97904417864
"Barajas",2009,1,3276.40468265148
"Carabanchel",2009,1,2679.94668054977
"Centro",2009,1,3988.15267497372
"Chamartín",2009,1,4822.1690976475
"Chamberí",2009,1,4668.05986974668
"Ciudad Lineal",2009,1,3540.24006727145
